Category,Commodity,Unit,Series,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Metal,Aluminum,Metric Ton,"Aluminum, $/mt, real 2010$",KALUMINUM,2671.884145,2620.89399,2505.419984,2555.936476,2658.066479,2703.547749,2607.416807,2584.69872,2669.498005,2696.316539,2645.62074,2572.018649,2215.71321,1939.693891,2031.935861,2077.458066,2103.063517,2500.596867,2492.43455,2703.044274,2721.242458,1933.771378,1565.122223,2332.321559,2074.594832,1743.619846,1675.052551,2080.760593,3183.566926,2450.307457,1983.063103,1589.738142,1503.159222,1319.525869,1763.745395,1964.378563,1669.827933,1861.371434,1652.006578,1688.877725,1947.144394,1885.208964,1783.64813,1797.701894,2017.664601,2164.440701,2857.787865,2764.525893,2501.888053,1725.88961,2173.117,2163.829479,1836.152606,1683.041587,1728.704165,1705.229226,1711.037009
Agricultural,Bananas,Kilograms,"Bananas, EU, $/kg, real 2010$",KBANANA_EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126622819,1.223008552,1.055250262,0.895460448,1.014973477,1.003430212,0.992740095,1.049081201,1.336968999,0.997513727,1.086672323,1.154979465,1.186893844,1.002241229,1.013472163,0.998014854,0.931424761,0.965125883,0.925400669,0.965575932
Agricultural,Bananas,Kilograms,"Bananas, US, $/kg, real 2010$",KBANANA_US,0.746327332,0.691368249,0.660938186,0.738314641,0.861157894,0.797894166,0.742409445,0.759069929,0.738990057,0.730877819,0.715426004,0.574108879,0.511026733,0.469729055,0.488831368,0.520698219,0.611077469,0.598461474,0.540373011,0.549113304,0.578413794,0.614520867,0.590755112,0.695283471,0.612564954,0.633415944,0.556039633,0.522485048,0.596822516,0.686638371,0.654209003,0.683002242,0.566952902,0.513221084,0.525249356,0.484227939,0.520784456,0.601769681,0.595715542,0.46385953,0.532931519,0.761650709,0.698409379,0.470731766,0.616966944,0.687357742,0.753111253,0.708177369,0.820947674,0.878210799,0.868320601,0.872235797,0.892976637,0.842195249,0.858870967,0.980222734,1.067837201
Agricultural,Barley,Metric Ton,"Barley, $/mt, real 2010$",KBARLEY,105.2811536,106.3175121,114.2013013,122.8658428,127.0619964,121.8542043,125.0857476,125.6159601,121.4754241,117.1519402,113.5434504,116.2537738,112.8930887,165.2146617,172.5111641,141.0875645,131.8510148,104.6874525,103.3905426,110.031286,119.9378844,122.0937966,100.5659559,114.944652,130.5168685,98.54083188,69.27826296,73.11113075,87.79249219,94.3545663,96.67681351,95.57396334,94.28575559,82.6859462,86.76508785,113.1536027,132.7133885,113.1703,103.5078141,94.22636241,97.0770839,122.6697526,143.9791969,131.5538371,116.421402,108.4064331,129.6787291,180.6368364,194.989706,133.0285941,158.3866651,186.6999625,218.0574234,184.2683011,127.8887026,199.0233808,169.0995398
Fossil Fuel,Coal,Metric Ton,"Coal, Australia, $/mt, real 2010$",KCOAL_AUS,,,,,,,,,,,33.59953534,35.5524262,36.04597089,37.16822208,44.8725477,64.20615714,64.18381202,62.69584823,54.66497542,52.09226581,61.54270644,82.11478135,86.4468666,61.91842713,51.3263927,56.54439914,45.33822403,36.55445767,43.5321777,47.71882907,47.98056848,48.4258777,46.21410168,36.29794491,38.57641612,42.83251833,42.22551694,40.8499723,35.57320499,32.12708865,32.99412116,42.19615748,33.44137918,32.7697693,62.27256424,54.29709809,54.58877147,68.88119214,123.6014207,74.47915886,98.96604167,109.4340564,87.45158185,77.06938811,64.92059798,58.91155902,70.24848192
Fossil Fuel,Coal,Metric Ton,"Coal, Colombian, $/mt, real 2010$",KCOAL_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56793782,37.67918659,42.44749452,71.65939067,58.25468201,58.04392123,66.81007798,119.0090637,61.59327003,77.97229167,100.4687356,76.2184811,65.50947213,61.03489699,53.78566981,61.41121057
Fossil Fuel,Coal,Metric Ton,"Coal, South African, $/mt, real 2010$",KCOAL_SAFRICA,,,,,,,,,,,,,,,,,,,,,,,,,54.49716178,58.5004165,44.23845345,35.2185584,35.08059004,38.92851846,39.76540812,38.45584406,34.55446609,31.22974781,34.112659,38.32588394,37.17202208,36.4855554,32.6626055,30.11901635,33.39633521,44.22244363,34.38583629,37.97561879,64.31482992,52.67350843,56.37310588,65.65128447,117.2748756,67.05569126,91.62270833,104.7920184,84.32596126,73.12887948,66.96489173,58.43061319,68.39467111
Agricultural,Cocoa,Kilograms,"Cocoa, $/kg, real 2010$",KCOCOA,3.076971582,2.452237993,2.303734361,2.830319996,2.555763678,1.828495298,2.498808186,2.862174158,3.479971359,4.113397623,2.907652097,2.20359508,2.41808388,3.661782158,4.147190465,2.980658413,4.834463676,8.285694548,6.402001442,5.552966955,3.991594346,3.184666049,2.739555803,3.43721924,3.972358843,3.777082093,3.014706637,2.650818499,1.977952367,1.558438356,1.532152607,1.458951648,1.317743552,1.293896238,1.667225728,1.558338147,1.614271836,1.883953897,2.040117272,1.408731993,1.138506666,1.395634508,2.349091381,2.199097984,1.822792161,1.753755713,1.770232737,2.045766526,2.506095961,2.994699566,3.133003854,2.68527261,2.170648484,2.222748334,2.834770454,3.211409463,3.083316746
Agricultural,Coconut oil,Metric Ton,"Coconut oil, $/mt, real 2010$",KCOCONUT_OIL,1631.602033,1298.562651,1263.708714,1467.23488,1498.235337,1752.539144,1562.660248,1561.726064,1927.408362,1655.347955,1710.919929,1497.161272,878.8458277,1660.914453,2650.331895,941.3235035,988.9884142,1263.965207,1285.247499,1660.240715,1033.1008,872.7822169,733.0509085,1183.44254,1914.205036,988.759098,431.8966562,587.8621419,705.0444455,649.017934,407.028436,528.6152532,692.1878742,521.5898839,725.5471454,728.4411057,833.5309095,764.4518665,800.6683965,914.5931737,566.0324785,415.3777772,556.2689966,586.969669,777.1145573,703.4763387,674.8978883,962.8814305,1190.268918,751.9792123,1123.583333,1558.934831,1008.093937,857.2412778,1184.822513,1136.525266,1572.89495
Agricultural,Coffee,Kilograms,"Coffee, Arabica, $/kg, real 2010$",KCOFFEE_ARABIC,4.824370344,4.588952164,4.188230653,4.128797244,5.102810074,5.007099769,4.483300211,4.13550549,4.18533073,4.017212407,4.939203489,4.062622435,4.166282179,4.446750402,3.856364638,3.449825051,7.436101876,11.29997283,6.75347121,6.452313195,5.314400323,4.392957032,4.873506064,4.72040686,5.286535552,5.412834771,6.252790516,3.329756626,3.786779362,2.997883113,2.385561609,2.287074851,1.692070286,1.807405967,3.95037032,3.625243322,2.987966634,4.850836011,3.628189033,2.842218493,2.412865317,1.793121767,1.792492058,1.777720957,2.086400253,2.887168276,2.804638592,2.854140132,2.996676518,3.287449265,4.320099865,5.384947547,3.730740481,2.803436261,4.095182148,3.611957428,3.851611258
